Age,Gender,Marital Status,Dependents,Employment,Income (₹),Years in Job,Credit Score,Active Loans,Missed Payments (12M),Loan Amount (₹),LTV (%),DTI (%),Loan Tenure (yrs),Repayment Type,Co-applicant Present,Co-applicant Income (₹),Existing Customer,Salary Account,Base Rate Type,Base Rate (%),Dynamic Rate (%)
64,Female,Married,1,Part-time,490000,33,695,0,2,1570000,64,33,7,Step-up EMI,No,810000,No,Yes,Fixed,6.5,9.6
20,Other,Single,0,Contractual,360000,1,647,2,3,1760000,85,41,27,Standard EMI,Yes,340000,Yes,Yes,Fixed,6.5,10.85
63,Other,Divorced,2,Contractual,1090000,27,759,3,0,1590000,52,27,15,Step-up EMI,No,2490000,Yes,Yes,Floating,6.5,6.2
61,Male,Widowed,1,Contractual,450000,34,777,2,1,1550000,53,22,9,Standard EMI,Yes,1390000,No,No,Fixed,6.5,7.26
46,Female,Single,4,Part-time,440000,19,637,2,3,2920000,84,34,19,Step-up EMI,Yes,950000,Yes,Yes,Floating,6.5,7.97
23,Female,Single,1,Salaried,710000,3,571,4,0,780000,88,35,25,Standard EMI,Yes,2010000,No,Yes,Fixed,6.5,9.85
69,Male,Married,3,Retired,360000,28,639,5,1,1310000,51,25,5,Step-up EMI,No,270000,No,No,Fixed,6.5,9.21
61,Male,Divorced,3,Contractual,920000,40,688,2,3,1590000,74,35,7,Standard EMI,No,510000,Yes,Yes,Floating,6.5,9.51
57,Other,Divorced,1,Part-time,740000,24,744,4,2,1650000,79,25,13,Step-up EMI,Yes,1470000,No,Yes,Fixed,6.5,5.98
20,Other,Single,4,Part-time,440000,1,521,4,2,1290000,90,45,27,Standard EMI,No,60000,No,Yes,Fixed,6.5,9.52
66,Other,Widowed,0,Salaried,780000,12,771,4,1,2310000,58,26,5,Standard EMI,No,300000,No,Yes,Fixed,6.5,8.15
52,Female,Single,4,Contractual,1340000,26,747,4,3,2720000,84,26,13,Standard EMI,Yes,50000,No,No,Floating,6.5,5.98
62,Female,Single,3,Salaried,1010000,14,796,4,2,2310000,72,26,9,Standard EMI,No,660000,Yes,No,Fixed,6.5,7.75
31,Male,Married,2,Contractual,1940000,5,656,0,2,2690000,75,33,15,Standard EMI,Yes,2160000,Yes,No,Floating,6.5,8.64
22,Other,Single,2,Part-time,300000,2,624,1,3,430000,87,37,29,Standard EMI,Yes,1440000,Yes,No,Fixed,6.5,10.27
53,Other,Single,4,Salaried,2220000,33,739,2,3,7880000,80,31,18,Standard EMI,No,300000,Yes,No,Fixed,6.5,5.52
66,Female,Married,3,Contractual,720000,8,732,4,3,2350000,54,27,6,Step-up EMI,Yes,2280000,Yes,No,Fixed,6.5,8.18
18,Other,Single,4,Contractual,510000,1,513,2,3,1200000,89,41,27,Standard EMI,No,440000,No,No,Floating,6.5,9.1
70,Other,Divorced,4,Contractual,1060000,5,746,2,2,2100000,71,24,5,Standard EMI,Yes,1940000,Yes,Yes,Floating,6.5,6.03
19,Other,Single,4,Contractual,530000,1,738,5,3,1670000,80,39,22,Step-up EMI,No,2010000,Yes,No,Fixed,6.5,6.52
66,Male,Single,3,Retired,500000,25,664,1,2,880000,66,23,9,Step-up EMI,Yes,2370000,Yes,No,Floating,6.5,7.94
50,Other,Widowed,1,Contractual,810000,21,797,5,2,4020000,85,27,23,Step-up EMI,Yes,2220000,Yes,No,Fixed,6.5,5.56
69,Female,Divorced,2,Retired,290000,11,732,5,0,1380000,67,20,8,Standard EMI,Yes,1950000,No,No,Floating,6.5,6.24
51,Other,Widowed,0,Contractual,1080000,32,654,1,0,3540000,83,37,16,Step-up EMI,No,180000,Yes,Yes,Floating,6.5,8.05
29,Other,Single,4,Part-time,600000,4,511,2,2,1600000,84,32,28,Step-up EMI,No,2490000,Yes,Yes,Floating,6.5,8.31
57,Other,Single,1,Contractual,1380000,8,741,5,3,2560000,83,28,24,Step-up EMI,Yes,1460000,No,Yes,Floating,6.5,7.01
22,Male,Single,1,Part-time,340000,3,533,3,0,810000,88,33,28,Step-up EMI,Yes,1920000,No,Yes,Fixed,6.5,9.22
27,Male,Single,3,Part-time,630000,5,729,1,2,1010000,84,38,21,Step-up EMI,No,780000,Yes,Yes,Floating,6.5,7.42
30,Other,Single,2,Contractual,550000,4,562,5,1,900000,80,32,21,Step-up EMI,Yes,1970000,No,No,Floating,6.5,10.79
75,Male,Divorced,3,Part-time,290000,50,629,0,2,1010000,72,31,12,Standard EMI,Yes,860000,Yes,No,Fixed,6.5,9.66
74,Female,Single,4,Retired,320000,20,663,5,1,980000,64,20,8,Standard EMI,Yes,1650000,Yes,No,Fixed,6.5,9.17
26,Female,Single,2,Salaried,1050000,5,600,3,3,1720000,88,37,21,Step-up EMI,Yes,1780000,Yes,Yes,Floating,6.5,8.44
48,Other,Divorced,4,Part-time,1030000,19,694,2,0,2070000,83,40,11,Standard EMI,Yes,1160000,No,Yes,Fixed,6.5,9.83
28,Female,Single,4,Part-time,740000,1,562,0,0,1330000,88,31,30,Standard EMI,No,120000,No,Yes,Floating,6.5,8.3
24,Other,Single,0,Contractual,350000,4,594,1,1,1020000,82,45,25,Standard EMI,No,1760000,Yes,Yes,Floating,6.5,7.53
62,Female,Widowed,4,Part-time,700000,44,725,2,1,1410000,65,22,15,Step-up EMI,No,1720000,No,Yes,Fixed,6.5,6.38
32,Other,Divorced,0,Contractual,690000,7,740,0,0,4350000,76,25,15,Step-up EMI,Yes,1480000,No,Yes,Floating,6.5,6.91
18,Other,Single,3,Part-time,490000,1,618,5,1,1920000,86,40,26,Standard EMI,No,1810000,Yes,Yes,Floating,6.5,9.24
47,Male,Widowed,4,Contractual,1250000,29,693,2,0,3320000,83,36,23,Step-up EMI,Yes,1090000,Yes,No,Floating,6.5,9.02
23,Other,Single,2,Part-time,320000,3,715,4,0,560000,80,35,20,Standard EMI,No,1040000,Yes,No,Floating,6.5,6.04
54,Other,Divorced,0,Contractual,670000,2,753,3,0,2130000,83,32,25,Step-up EMI,No,1510000,No,Yes,Fixed,6.5,7.41
60,Male,Single,3,Salaried,710000,38,719,1,1,1960000,73,27,11,Step-up EMI,Yes,2070000,Yes,No,Fixed,6.5,7.59
45,Female,Married,2,Part-time,480000,7,734,2,3,3380000,82,30,24,Step-up EMI,No,1190000,No,Yes,Floating,6.5,7.3
20,Male,Single,3,Salaried,420000,1,645,5,2,1600000,87,40,20,Standard EMI,No,610000,No,Yes,Floating,6.5,8.73
69,Female,Single,3,Part-time,710000,7,624,3,0,1760000,59,20,10,Step-up EMI,Yes,2270000,No,Yes,Floating,6.5,9.04
35,Male,Divorced,3,Salaried,910000,9,652,4,0,3140000,75,32,17,Step-up EMI,No,10000,Yes,Yes,Fixed,6.5,7.69
34,Male,Single,1,Salaried,2650000,8,655,4,2,8820000,83,33,19,Standard EMI,No,2310000,No,Yes,Fixed,6.5,9.09
33,Male,Widowed,1,Part-time,690000,15,718,0,0,2520000,85,28,17,Standard EMI,Yes,710000,Yes,Yes,Fixed,6.5,8.78
71,Other,Married,3,Part-time,210000,42,663,0,0,1560000,66,25,12,Standard EMI,No,360000,Yes,Yes,Floating,6.5,7.94
42,Other,Single,3,Salaried,2780000,17,779,5,3,6390000,85,26,18,Step-up EMI,No,1320000,Yes,Yes,Floating,6.5,7.04
52,Male,Married,0,Contractual,650000,27,780,2,3,3890000,77,25,25,Standard EMI,No,1910000,Yes,Yes,Floating,6.5,8.35
66,Other,Married,2,Part-time,390000,45,610,4,2,500000,64,23,14,Standard EMI,Yes,2310000,No,Yes,Floating,6.5,8.95
67,Male,Widowed,3,Part-time,550000,22,652,3,0,1210000,54,23,5,Step-up EMI,Yes,470000,Yes,No,Floating,6.5,7.94
73,Female,Divorced,1,Retired,230000,48,676,4,0,830000,56,20,6,Step-up EMI,No,440000,Yes,No,Floating,6.5,7.86
30,Other,Single,1,Contractual,390000,1,610,2,3,480000,86,45,29,Standard EMI,No,2040000,Yes,No,Floating,6.5,9.42
48,Male,Divorced,1,Salaried,670000,21,659,1,2,6340000,77,27,15,Step-up EMI,No,640000,Yes,No,Fixed,6.5,8.43
23,Other,Single,3,Part-time,800000,2,555,2,2,820000,88,42,29,Standard EMI,No,2060000,No,Yes,Fixed,6.5,9.64
24,Female,Single,0,Contractual,370000,5,659,0,1,1420000,89,38,26,Standard EMI,No,430000,No,No,Floating,6.5,7.67
63,Female,Divorced,0,Contractual,950000,44,758,3,0,1250000,60,28,10,Standard EMI,Yes,1200000,Yes,No,Fixed,6.5,6.97
39,Female,Married,3,Contractual,1190000,8,769,4,0,1580000,77,39,10,Standard EMI,No,2370000,No,Yes,Floating,6.5,6.5
50,Female,Single,2,Salaried,2420000,26,695,5,3,9940000,78,38,10,Step-up EMI,No,620000,Yes,Yes,Fixed,6.5,8.01
21,Male,Single,2,Part-time,610000,2,521,3,2,1600000,81,41,26,Step-up EMI,No,40000,Yes,No,Fixed,6.5,8.69
71,Female,Married,4,Retired,430000,28,668,3,3,1050000,55,30,7,Step-up EMI,No,1570000,No,No,Floating,6.5,9.7
63,Male,Married,0,Contractual,370000,14,701,5,3,2110000,60,30,10,Standard EMI,No,2120000,Yes,Yes,Floating,6.5,7.16
25,Male,Single,2,Salaried,410000,4,607,0,0,1020000,84,38,29,Step-up EMI,No,1490000,No,Yes,Fixed,6.5,8.72
54,Male,Divorced,3,Salaried,1670000,15,791,3,2,5040000,83,37,24,Step-up EMI,No,2190000,Yes,No,Fixed,6.5,6.37
67,Female,Divorced,3,Contractual,1130000,46,746,5,3,1200000,60,23,12,Step-up EMI,No,1740000,No,No,Floating,6.5,7.17
18,Female,Single,0,Contractual,220000,1,739,4,0,1090000,90,31,26,Standard EMI,No,2350000,Yes,No,Floating,6.5,6.89
65,Female,Divorced,0,Retired,370000,26,627,5,3,530000,69,29,9,Standard EMI,No,2100000,No,Yes,Fixed,6.5,8.32
44,Male,Single,2,Part-time,980000,6,623,3,0,2850000,84,34,15,Step-up EMI,Yes,1510000,Yes,No,Floating,6.5,9.55
45,Male,Single,2,Part-time,690000,3,722,0,2,2140000,81,40,25,Standard EMI,Yes,230000,Yes,No,Floating,6.5,6.85
23,Female,Single,4,Salaried,1410000,2,654,1,1,1180000,87,40,30,Step-up EMI,Yes,1450000,Yes,Yes,Floating,6.5,9.16
23,Male,Single,2,Salaried,500000,5,552,3,1,1530000,87,33,26,Standard EMI,Yes,2500000,Yes,No,Fixed,6.5,8.82
18,Female,Single,4,Part-time,520000,1,724,4,0,1450000,80,35,24,Step-up EMI,Yes,330000,No,No,Fixed,6.5,6.86
49,Other,Widowed,1,Salaried,1800000,21,761,5,1,5110000,85,39,22,Standard EMI,Yes,130000,Yes,Yes,Floating,6.5,7.75
22,Other,Single,1,Salaried,570000,3,713,0,2,280000,90,44,22,Step-up EMI,Yes,2250000,No,Yes,Fixed,6.5,6.86
72,Male,Single,1,Part-time,300000,1,694,2,2,690000,56,26,11,Step-up EMI,Yes,2390000,No,Yes,Fixed,6.5,8.65
22,Other,Single,3,Contractual,220000,4,656,3,3,1520000,82,41,30,Standard EMI,No,710000,Yes,No,Fixed,6.5,8.33
28,Other,Single,3,Contractual,370000,9,564,3,3,1000000,82,35,20,Standard EMI,Yes,410000,No,No,Fixed,6.5,10.22
46,Other,Single,1,Salaried,1330000,7,711,2,2,4560000,78,28,24,Step-up EMI,Yes,220000,Yes,Yes,Floating,6.5,6.02
56,Female,Single,1,Salaried,1490000,31,682,2,3,5460000,80,32,13,Standard EMI,No,1200000,Yes,No,Floating,6.5,9.27
34,Female,Married,2,Salaried,2880000,1,847,3,0,4350000,75,35,21,Standard EMI,Yes,260000,No,No,Floating,6.5,6.72
21,Female,Single,4,Part-time,200000,1,690,3,1,970000,89,34,27,Step-up EMI,No,500000,No,No,Fixed,6.5,8.71
71,Female,Married,3,Part-time,680000,47,626,4,3,1160000,72,24,15,Step-up EMI,No,1960000,Yes,Yes,Fixed,6.5,8.89
52,Other,Widowed,2,Contractual,1280000,26,690,2,2,3270000,79,39,15,Step-up EMI,No,1330000,No,No,Fixed,6.5,8.58
67,Female,Divorced,0,Part-time,310000,38,688,2,3,1580000,75,32,8,Step-up EMI,No,2270000,No,No,Fixed,6.5,9.63
43,Male,Married,4,Part-time,660000,1,725,4,3,2070000,78,33,19,Standard EMI,No,490000,Yes,No,Floating,6.5,6.73
20,Female,Single,0,Contractual,320000,2,532,0,0,1090000,83,34,20,Step-up EMI,Yes,2460000,No,Yes,Fixed,6.5,9.51
28,Male,Single,2,Part-time,640000,2,633,0,3,120000,83,43,27,Standard EMI,No,580000,Yes,No,Fixed,6.5,8.48
23,Other,Single,1,Salaried,410000,1,710,1,2,1510000,83,41,29,Standard EMI,Yes,1860000,No,No,Floating,6.5,7.98
35,Female,Single,1,Part-time,420000,2,732,0,1,3580000,81,31,11,Standard EMI,Yes,510000,No,No,Floating,6.5,7.71
27,Female,Single,4,Salaried,1100000,4,736,1,0,1260000,90,39,28,Step-up EMI,No,2400000,Yes,No,Floating,6.5,6.69
28,Other,Single,3,Contractual,160000,6,646,0,0,1410000,80,38,29,Step-up EMI,Yes,410000,No,No,Fixed,6.5,9.06
66,Other,Widowed,3,Retired,330000,14,745,0,0,1410000,64,26,11,Step-up EMI,No,1000000,No,Yes,Floating,6.5,7.33
26,Other,Single,3,Contractual,320000,4,642,4,3,1310000,80,41,24,Standard EMI,Yes,2390000,No,Yes,Floating,6.5,8.84
31,Male,Widowed,0,Contractual,720000,1,786,4,3,4110000,80,29,11,Step-up EMI,Yes,90000,Yes,No,Fixed,6.5,6.72
70,Male,Married,3,Contractual,460000,51,687,2,2,2480000,67,28,5,Standard EMI,No,2440000,No,No,Fixed,6.5,8.97
50,Other,Divorced,1,Salaried,1330000,13,698,5,0,2160000,79,37,15,Standard EMI,Yes,890000,Yes,No,Fixed,6.5,8.32
19,Male,Single,3,Contractual,340000,1,565,2,0,1210000,89,43,21,Step-up EMI,No,2130000,No,Yes,Floating,6.5,9.72
66,Male,Married,0,Retired,430000,35,706,0,2,1150000,73,28,13,Step-up EMI,Yes,2130000,No,Yes,Fixed,6.5,6.55
22,Female,Single,4,Part-time,160000,2,504,5,0,550000,85,30,30,Standard EMI,Yes,1560000,No,Yes,Floating,6.5,8.83
46,Other,Widowed,4,Part-time,1160000,24,671,5,1,2230000,82,29,24,Step-up EMI,No,930000,Yes,Yes,Floating,6.5,9.33
27,Female,Single,3,Salaried,440000,9,713,0,1,290000,89,33,28,Step-up EMI,No,1890000,No,Yes,Fixed,6.5,7.94
36,Female,Married,0,Contractual,1190000,15,767,4,2,4060000,78,34,20,Standard EMI,Yes,1680000,No,No,Floating,6.5,6.02
22,Female,Single,0,Part-time,750000,4,608,3,0,1030000,89,37,23,Standard EMI,Yes,1940000,No,No,Floating,6.5,9.6
19,Other,Single,1,Part-time,520000,1,504,4,0,1140000,82,32,28,Standard EMI,No,1210000,No,No,Floating,6.5,9.18
26,Other,Single,2,Part-time,760000,4,655,2,3,700000,90,40,28,Step-up EMI,Yes,480000,No,Yes,Floating,6.5,8.15
19,Other,Single,0,Contractual,360000,1,560,1,3,1040000,88,33,29,Step-up EMI,Yes,350000,Yes,No,Floating,6.5,8.61
51,Female,Widowed,4,Salaried,460000,19,680,5,3,3790000,82,26,11,Standard EMI,Yes,560000,No,No,Fixed,6.5,8.98
46,Male,Divorced,3,Part-time,870000,10,744,2,3,3520000,80,26,21,Step-up EMI,No,1060000,No,Yes,Floating,6.5,7.01
72,Female,Single,3,Salaried,750000,43,750,2,2,2200000,65,26,7,Step-up EMI,Yes,930000,Yes,No,Fixed,6.5,6.29
60,Other,Widowed,0,Part-time,480000,35,681,0,0,1190000,74,25,5,Step-up EMI,No,1470000,Yes,No,Fixed,6.5,9.23
74,Other,Married,1,Salaried,980000,33,805,1,0,2550000,67,25,5,Step-up EMI,No,2150000,No,Yes,Floating,6.5,7.17
24,Female,Single,0,Part-time,730000,5,701,3,3,1390000,83,42,23,Standard EMI,No,2270000,Yes,No,Floating,6.5,6.68
28,Other,Single,1,Part-time,620000,5,719,5,2,620000,87,31,29,Standard EMI,No,1770000,Yes,Yes,Fixed,6.5,6.04
21,Female,Single,3,Salaried,1410000,3,574,0,3,1680000,85,42,25,Step-up EMI,No,1750000,Yes,No,Floating,6.5,7.82
57,Male,Divorced,3,Contractual,920000,39,739,0,2,3820000,82,31,12,Step-up EMI,No,620000,No,Yes,Floating,6.5,7.83
24,Male,Single,3,Contractual,570000,2,651,3,2,180000,90,33,29,Step-up EMI,Yes,1580000,No,Yes,Floating,6.5,9.2
28,Male,Single,0,Salaried,940000,1,726,0,2,1110000,86,44,27,Step-up EMI,No,60000,No,Yes,Fixed,6.5,5.98
30,Other,Single,4,Salaried,560000,1,727,0,0,1580000,81,34,24,Step-up EMI,No,2150000,Yes,Yes,Fixed,6.5,6.98
36,Other,Single,1,Salaried,2900000,5,741,3,0,4220000,85,31,24,Step-up EMI,No,380000,Yes,No,Floating,6.5,6.92
25,Female,Single,3,Contractual,270000,7,731,1,0,390000,80,33,24,Standard EMI,No,830000,Yes,Yes,Floating,6.5,7.43
45,Other,Divorced,0,Contractual,1830000,11,722,1,3,3110000,80,39,12,Standard EMI,Yes,2410000,No,No,Floating,6.5,7.11
52,Male,Married,3,Contractual,820000,3,666,0,1,4860000,82,38,20,Standard EMI,No,1630000,Yes,No,Floating,6.5,9.11
21,Male,Single,1,Part-time,390000,1,688,5,3,1030000,82,44,28,Step-up EMI,Yes,90000,Yes,Yes,Fixed,6.5,10.26
59,Female,Widowed,0,Part-time,1120000,17,624,1,1,2480000,85,30,14,Step-up EMI,No,1130000,No,No,Floating,6.5,8.7
49,Female,Married,2,Contractual,1260000,8,789,1,0,3900000,76,26,17,Step-up EMI,Yes,270000,Yes,No,Floating,6.5,6.05
72,Female,Married,4,Contractual,1040000,14,671,2,2,2380000,55,31,8,Standard EMI,Yes,1830000,No,No,Fixed,6.5,9.35
67,Other,Widowed,2,Retired,510000,23,715,3,1,1290000,62,28,11,Step-up EMI,Yes,2400000,No,No,Fixed,6.5,6.12
25,Female,Single,1,Contractual,550000,2,682,2,0,1780000,88,38,26,Step-up EMI,No,2140000,Yes,No,Fixed,6.5,10.27
66,Female,Single,3,Part-time,270000,21,607,2,3,1710000,61,20,12,Standard EMI,No,900000,No,Yes,Fixed,6.5,8.66
24,Other,Single,0,Salaried,1440000,1,697,2,3,450000,81,42,24,Step-up EMI,No,440000,No,No,Fixed,6.5,8.39
22,Male,Single,0,Part-time,270000,2,644,0,3,410000,87,40,22,Step-up EMI,Yes,2040000,No,No,Floating,6.5,8.88
39,Female,Married,0,Salaried,700000,21,741,3,0,9130000,76,25,22,Step-up EMI,Yes,430000,Yes,Yes,Fixed,6.5,7.63
72,Female,Divorced,0,Contractual,950000,45,784,1,2,1420000,59,23,7,Standard EMI,Yes,500000,No,No,Floating,6.5,7.94
25,Female,Single,3,Part-time,420000,3,582,3,1,1730000,83,40,28,Step-up EMI,Yes,1470000,No,No,Fixed,6.5,8.13
41,Female,Widowed,3,Salaried,1700000,15,655,1,1,5010000,78,28,23,Standard EMI,Yes,110000,Yes,Yes,Floating,6.5,8.5
73,Female,Widowed,1,Salaried,1120000,37,704,1,0,2640000,75,32,6,Standard EMI,Yes,1960000,No,Yes,Fixed,6.5,6.58
20,Male,Single,4,Contractual,330000,2,508,2,1,1060000,90,36,28,Standard EMI,No,570000,No,No,Floating,6.5,10.46
41,Other,Married,1,Salaried,530000,9,816,1,3,8150000,79,28,21,Step-up EMI,No,2010000,No,Yes,Fixed,6.5,6.9
24,Other,Single,4,Salaried,590000,5,679,2,1,1220000,82,45,25,Standard EMI,Yes,1530000,No,No,Floating,6.5,8.39
59,Male,Single,0,Contractual,1180000,40,766,4,2,4550000,84,29,18,Step-up EMI,No,810000,Yes,Yes,Floating,6.5,7.24
67,Other,Widowed,3,Retired,530000,6,633,5,2,1450000,75,26,13,Step-up EMI,Yes,200000,No,Yes,Fixed,6.5,8.98
29,Other,Single,2,Part-time,490000,9,635,5,0,1740000,84,33,23,Standard EMI,Yes,140000,Yes,Yes,Floating,6.5,8.89
36,Male,Widowed,0,Salaried,2580000,14,707,5,2,8810000,79,25,24,Standard EMI,Yes,1180000,No,Yes,Fixed,6.5,7.12
56,Other,Divorced,1,Contractual,1250000,15,703,2,2,3270000,80,37,16,Step-up EMI,Yes,1900000,No,No,Floating,6.5,6.18
18,Other,Single,4,Contractual,140000,1,519,5,3,1340000,88,32,26,Standard EMI,Yes,1050000,No,Yes,Fixed,6.5,10.53
61,Female,Married,1,Retired,270000,30,739,1,2,830000,67,33,10,Standard EMI,Yes,730000,No,Yes,Floating,6.5,8.16
51,Other,Widowed,2,Salaried,1690000,26,789,3,0,5960000,76,38,23,Step-up EMI,No,2050000,No,No,Fixed,6.5,7.87
27,Other,Single,1,Contractual,190000,4,712,3,1,610000,90,36,27,Standard EMI,Yes,810000,Yes,No,Fixed,6.5,6.7
35,Other,Married,3,Contractual,1770000,12,684,0,3,3930000,85,25,23,Step-up EMI,Yes,710000,Yes,Yes,Floating,6.5,9.57
72,Female,Divorced,0,Salaried,1370000,52,835,5,0,2280000,73,34,7,Step-up EMI,Yes,80000,Yes,No,Fixed,6.5,7.13
38,Male,Divorced,4,Salaried,2740000,11,814,4,1,2980000,75,30,12,Step-up EMI,No,800000,No,Yes,Floating,6.5,7.09
52,Male,Widowed,0,Salaried,2550000,26,751,1,3,7650000,76,37,24,Standard EMI,No,1690000,Yes,No,Fixed,6.5,6.41
65,Male,Single,3,Part-time,600000,5,614,3,0,1550000,51,35,8,Standard EMI,Yes,1340000,No,No,Fixed,6.5,9.9
27,Female,Single,1,Salaried,560000,1,717,5,1,440000,81,35,28,Step-up EMI,Yes,2020000,Yes,Yes,Fixed,6.5,8.07
22,Male,Single,0,Salaried,1200000,3,594,5,3,180000,90,40,30,Step-up EMI,Yes,1160000,No,No,Floating,6.5,9.27
52,Female,Single,0,Contractual,1960000,14,724,4,2,2060000,82,26,14,Step-up EMI,Yes,1550000,No,Yes,Fixed,6.5,6.28
28,Other,Single,1,Contractual,280000,2,606,5,1,1380000,85,31,26,Standard EMI,No,1590000,No,No,Floating,6.5,10.02
53,Female,Divorced,4,Part-time,990000,20,651,5,2,3910000,81,40,22,Step-up EMI,Yes,2320000,Yes,No,Floating,6.5,9.3
57,Other,Married,1,Contractual,1850000,4,675,3,1,1780000,76,39,22,Step-up EMI,No,420000,No,Yes,Fixed,6.5,8.75
18,Other,Single,1,Salaried,980000,1,636,2,2,550000,84,34,30,Step-up EMI,No,1670000,Yes,No,Floating,6.5,8.34
32,Female,Single,3,Salaried,1470000,4,652,5,0,2270000,79,31,15,Step-up EMI,Yes,2440000,Yes,Yes,Floating,6.5,9.66
55,Female,Single,1,Contractual,770000,21,658,0,3,4070000,79,30,21,Step-up EMI,Yes,350000,No,Yes,Floating,6.5,8.64
41,Other,Divorced,0,Part-time,1170000,18,742,2,2,1990000,76,30,20,Step-up EMI,No,1820000,No,No,Fixed,6.5,6.99
29,Male,Single,1,Contractual,220000,2,741,5,3,1480000,85,33,28,Step-up EMI,Yes,1600000,No,Yes,Floating,6.5,6.14
65,Female,Married,0,Salaried,1120000,41,816,3,1,2400000,72,22,7,Standard EMI,Yes,290000,No,Yes,Floating,6.5,7.04
39,Male,Divorced,2,Part-time,460000,12,629,1,1,2920000,77,37,19,Step-up EMI,Yes,2490000,Yes,Yes,Fixed,6.5,9.36
27,Male,Single,4,Part-time,110000,3,563,1,0,1150000,89,31,25,Step-up EMI,Yes,2290000,Yes,No,Floating,6.5,8.5
69,Female,Married,1,Contractual,650000,5,788,3,2,2190000,73,24,5,Step-up EMI,Yes,310000,Yes,No,Fixed,6.5,7.68
73,Other,Single,4,Part-time,620000,11,672,3,1,1200000,66,23,10,Step-up EMI,No,1450000,Yes,No,Floating,6.5,10.0
74,Female,Widowed,3,Salaried,980000,30,747,4,0,2950000,55,32,5,Step-up EMI,Yes,60000,No,No,Fixed,6.5,6.19
70,Male,Married,1,Contractual,670000,44,753,5,0,1140000,70,23,15,Standard EMI,No,140000,Yes,No,Fixed,6.5,6.14
61,Male,Widowed,0,Salaried,1160000,41,746,3,2,1990000,67,26,8,Standard EMI,No,350000,Yes,No,Floating,6.5,6.43
56,Female,Single,1,Contractual,1250000,37,737,1,3,3810000,81,27,17,Standard EMI,No,2250000,No,No,Fixed,6.5,8.39
60,Female,Single,0,Part-time,540000,40,704,3,2,1400000,50,27,9,Step-up EMI,Yes,450000,No,No,Fixed,6.5,8.06
41,Female,Married,1,Salaried,1960000,1,832,2,2,3070000,78,26,12,Step-up EMI,Yes,570000,Yes,No,Fixed,6.5,6.92
48,Male,Widowed,2,Salaried,930000,14,796,1,3,6060000,79,27,21,Standard EMI,Yes,330000,No,No,Fixed,6.5,7.66
18,Male,Single,3,Salaried,550000,1,567,5,2,550000,90,36,28,Step-up EMI,No,620000,No,Yes,Floating,6.5,9.56
18,Other,Single,3,Part-time,130000,1,538,1,1,640000,85,34,20,Step-up EMI,No,90000,No,No,Floating,6.5,9.79
40,Other,Single,1,Contractual,1080000,19,681,4,1,3320000,76,39,18,Step-up EMI,No,680000,No,No,Fixed,6.5,8.44
33,Other,Divorced,4,Contractual,1060000,12,794,0,1,2740000,75,38,22,Standard EMI,No,130000,Yes,No,Floating,6.5,8.1
34,Female,Married,0,Contractual,1210000,13,684,1,3,4820000,84,39,23,Step-up EMI,Yes,250000,No,Yes,Fixed,6.5,9.2
18,Male,Single,1,Contractual,130000,1,563,0,2,790000,85,31,28,Step-up EMI,No,1320000,No,No,Floating,6.5,8.23
69,Female,Divorced,1,Retired,240000,24,607,5,1,1290000,71,28,12,Standard EMI,Yes,1470000,Yes,Yes,Floating,6.5,8.59
49,Male,Widowed,4,Contractual,1020000,8,798,1,1,4090000,83,31,24,Standard EMI,No,1000000,Yes,Yes,Floating,6.5,5.44
19,Male,Single,1,Part-time,690000,1,613,2,3,650000,80,45,21,Standard EMI,Yes,2250000,No,Yes,Fixed,6.5,8.74
42,Male,Single,1,Salaried,2410000,9,778,4,3,2890000,76,30,19,Standard EMI,No,170000,No,Yes,Fixed,6.5,6.89
21,Female,Single,1,Part-time,570000,2,559,3,2,120000,85,43,21,Step-up EMI,No,0,Yes,No,Floating,6.5,7.99
62,Other,Widowed,0,Part-time,430000,15,744,0,0,830000,72,33,12,Standard EMI,Yes,780000,Yes,Yes,Fixed,6.5,7.74
19,Female,Single,3,Part-time,260000,1,656,2,3,180000,82,38,20,Step-up EMI,No,1280000,Yes,Yes,Floating,6.5,9.54
73,Male,Widowed,4,Part-time,700000,9,673,2,2,700000,59,26,9,Standard EMI,Yes,1630000,No,Yes,Floating,6.5,9.12
54,Male,Divorced,2,Part-time,920000,9,692,1,2,2630000,78,37,21,Standard EMI,Yes,1480000,No,No,Fixed,6.5,8.45
20,Male,Single,0,Salaried,1260000,2,617,5,0,1020000,86,33,26,Standard EMI,Yes,1480000,Yes,Yes,Floating,6.5,9.67
26,Other,Single,4,Salaried,710000,2,593,4,1,380000,82,40,28,Standard EMI,Yes,120000,No,Yes,Fixed,6.5,8.79
26,Male,Single,0,Salaried,1160000,1,600,5,0,1660000,90,32,20,Standard EMI,No,1950000,No,Yes,Fixed,6.5,7.71
65,Female,Divorced,1,Retired,540000,34,603,3,2,650000,72,26,11,Standard EMI,No,650000,Yes,No,Fixed,6.5,8.61
69,Other,Married,4,Part-time,250000,22,643,3,1,1890000,54,22,11,Step-up EMI,Yes,360000,No,No,Floating,6.5,8.66
56,Female,Single,0,Part-time,1100000,10,654,5,0,2070000,84,33,20,Standard EMI,No,640000,No,No,Fixed,6.5,9.92
72,Female,Single,3,Contractual,810000,14,698,0,3,1660000,65,31,10,Step-up EMI,Yes,1990000,Yes,Yes,Fixed,6.5,7.74
