credit_score,years_with_bank,deposit_amount,repayment_history,market_trend,credit_score_adjustment,years_with_bank_adjustment,deposit_amount_adjustment,repayment_history_adjustment,market_trend_adjustment,final_interest_rate_adjustment_bps,adjusted_interest_rate,product_type
428,8,17012100,good,stable,-91,38,84,21,16,68,8.18,Fixed Deposits
376,7,87438532,good,falling,-77,38,54,22,-44,-7,7.85,Home Loans
620,11,5863485,poor,falling,-25,81,25,-77,-38,-34,7.61,Home Loans
596,7,39100927,excellent,stable,9,33,50,70,-1,161,9.11,Home Loans
736,2,24356881,excellent,falling,-10,-20,73,88,-38,93,8.43,Home Loans
710,12,66186554,excellent,rising,-21,100,81,89,35,284,10.34,Home Loans
837,18,81676806,excellent,rising,80,64,82,78,43,214,9.64,Home Loans
701,1,3899044,good,rising,19,4,30,19,46,118,8.68,Fixed Deposits
605,16,39322574,poor,falling,11,79,51,-56,-44,41,7.91,Fixed Deposits
571,15,74976054,poor,rising,-1,65,93,-74,26,109,8.59,Fixed Deposits
350,3,75168934,excellent,rising,-58,-3,66,83,36,124,8.74,Home Loans
895,17,43726301,excellent,falling,98,80,59,75,-38,274,10.24,Fixed Deposits
795,13,48023879,excellent,rising,74,61,86,64,28,127,8.77,Fixed Deposits
428,1,34933402,good,rising,-98,-5,86,-20,25,-12,8.43,Fixed Deposits
585,12,93468181,poor,stable,12,52,51,-76,21,60,8.1,Fixed Deposits
683,19,46203927,excellent,stable,6,52,61,67,24,210,9.6,Home Loans
698,16,85848149,excellent,rising,22,87,86,56,47,298,10.48,Fixed Deposits
447,14,2487396,good,falling,-81,71,39,-24,-36,-31,7.67,Fixed Deposits
431,19,71790752,good,rising,-71,70,72,8,41,120,8.7,Home Loans
851,4,89222107,excellent,falling,51,25,67,50,-29,164,9.14,Fixed Deposits
826,6,20611657,poor,stable,54,36,80,-55,9,124,8.74,Home Loans
899,17,6769008,excellent,rising,68,65,45,51,32,261,10.11,Home Loans
363,10,95488458,poor,falling,-81,67,87,-59,-27,-13,8.06,Home Loans
741,17,83558860,excellent,rising,-4,53,78,85,47,259,10.09,Home Loans
696,4,58442997,excellent,rising,-15,-6,63,53,31,126,8.76,Home Loans
659,12,68259044,excellent,falling,-8,94,92,77,-50,205,9.55,Fixed Deposits
735,17,77675542,excellent,rising,1,62,89,72,49,273,10.23,Home Loans
558,1,96878361,good,rising,5,5,72,13,43,138,8.88,Home Loans
706,19,13654960,good,rising,9,51,74,-6,48,176,9.26,Home Loans
443,3,50949818,excellent,rising,-57,4,90,86,42,165,9.15,Home Loans
442,12,15266174,good,falling,-56,80,87,18,-50,79,8.29,Home Loans
689,15,66920480,excellent,falling,-5,77,77,61,-40,170,9.2,Fixed Deposits
794,5,11563536,excellent,rising,69,-17,84,81,25,242,9.92,Fixed Deposits
371,7,29432387,poor,rising,-92,35,79,-63,39,-2,7.92,Home Loans
640,15,59251021,poor,stable,5,84,76,-70,-18,77,8.27,Home Loans
834,12,21197292,excellent,rising,58,98,57,67,37,165,9.15,Fixed Deposits
655,3,27776750,excellent,rising,-19,18,97,78,49,223,9.73,Fixed Deposits
477,1,21271102,good,rising,-68,11,68,8,27,46,7.96,Fixed Deposits
622,8,96713704,excellent,rising,-25,38,50,100,31,194,9.44,Home Loans
791,17,97469501,good,stable,68,100,94,3,5,270,10.2,Home Loans
852,16,73495708,good,falling,52,66,93,1,-38,174,9.24,Fixed Deposits
479,7,7617387,excellent,stable,-62,50,44,80,24,136,8.86,Home Loans
481,14,49118177,excellent,stable,-89,53,79,97,6,146,8.96,Home Loans
831,8,65359939,good,rising,79,25,78,8,36,226,9.76,Home Loans
739,16,12283415,excellent,falling,-10,66,57,66,-48,131,8.81,Home Loans
674,1,93996917,excellent,falling,-13,16,63,69,-41,94,8.44,Home Loans
418,5,1016072,good,falling,-51,-18,30,5,-25,-59,8.47,Fixed Deposits
797,4,64199019,good,rising,73,0,52,5,29,159,9.09,Fixed Deposits
877,16,25340689,excellent,stable,66,92,52,88,-3,295,10.45,Fixed Deposits
514,1,24572530,poor,stable,1,-6,63,-80,-17,-39,7.93,Home Loans
837,17,18066318,good,rising,78,91,70,-19,25,245,9.95,Fixed Deposits
775,9,10581895,excellent,falling,90,43,84,81,-46,252,10.02,Home Loans
614,9,10130984,excellent,rising,-12,30,93,61,25,197,9.47,Home Loans
691,5,72748232,good,rising,-21,17,93,-3,26,112,8.62,Home Loans
627,11,68493762,excellent,rising,17,97,98,92,34,74,8.24,Home Loans
788,16,36151278,excellent,rising,87,91,92,98,28,-196,7.88,Home Loans
506,12,96873920,good,falling,-20,82,90,17,-25,144,8.94,Home Loans
771,19,44900847,good,rising,73,89,76,14,27,279,10.29,Home Loans
600,15,9083152,good,rising,14,66,29,-20,34,123,8.73,Home Loans
879,9,40463659,good,stable,82,43,92,6,5,228,9.78,Fixed Deposits
676,1,47450803,excellent,rising,-17,-17,88,87,39,180,9.3,Home Loans
446,1,53481697,excellent,stable,-59,-6,59,64,-5,53,8.03,Home Loans
862,6,81230342,good,stable,98,32,58,0,-20,168,9.18,Fixed Deposits
565,5,18519308,good,rising,-23,15,69,-6,25,80,8.3,Fixed Deposits
481,0,98986771,good,falling,-78,22,78,-14,-26,-18,8.1,Fixed Deposits
609,11,84188898,excellent,stable,-5,95,96,90,-16,260,10.1,Fixed Deposits
474,12,38699548,poor,stable,-79,55,78,-56,-24,-26,8.04,Home Loans
431,11,16386635,excellent,falling,-56,58,77,96,-27,148,8.98,Fixed Deposits
632,18,15822100,excellent,stable,-18,60,60,96,-17,181,9.31,Home Loans
408,8,30403773,excellent,rising,-81,46,70,75,41,151,9.01,Fixed Deposits
893,9,76047336,excellent,rising,63,39,84,79,40,295,10.45,Fixed Deposits
510,16,40016601,good,stable,4,96,72,3,-24,151,9.01,Fixed Deposits
633,17,61834411,excellent,falling,-18,54,78,79,-35,158,9.08,Fixed Deposits
455,7,9683083,excellent,rising,-82,32,39,62,27,78,8.28,Home Loans
454,6,84935279,excellent,rising,-56,44,66,90,49,193,9.43,Home Loans
788,8,62775680,good,stable,87,27,73,17,2,206,9.56,Home Loans
577,9,42281091,poor,stable,10,44,84,-79,25,84,8.34,Home Loans
667,11,84345435,good,rising,-20,74,69,17,37,177,9.27,Fixed Deposits
813,14,5876493,excellent,falling,83,85,50,90,-45,263,10.13,Fixed Deposits
821,14,78445707,good,falling,59,88,85,-9,-26,197,9.47,Home Loans
405,3,59457931,excellent,stable,-70,23,60,72,13,98,8.48,Fixed Deposits
362,3,8507043,excellent,rising,-90,18,47,74,50,99,8.49,Home Loans
789,0,20356818,poor,stable,92,-20,79,-95,18,74,8.24,Home Loans
367,11,13867280,excellent,rising,-66,73,88,86,38,219,9.69,Home Loans
462,1,16012340,excellent,stable,-90,-5,69,75,-11,38,7.88,Home Loans
578,14,30381133,excellent,rising,14,85,71,70,26,266,10.16,Fixed Deposits
520,16,58428069,excellent,stable,6,67,73,84,-4,226,9.76,Home Loans
644,6,51850580,excellent,rising,23,40,63,55,34,215,9.65,Fixed Deposits
538,5,25770048,excellent,falling,0,-25,85,71,-34,97,8.47,Home Loans
775,11,7391210,excellent,stable,71,78,37,66,-3,249,9.99,Home Loans
428,18,28435975,poor,falling,-100,66,50,-90,-36,-110,7.96,Home Loans
531,0,29059662,good,rising,22,-21,99,-22,30,108,8.58,Fixed Deposits
848,13,71336168,poor,rising,78,99,76,-57,48,244,9.94,Fixed Deposits
420,3,47210226,good,rising,-62,-20,62,-16,26,-10,8.01,Home Loans
597,4,3047721,good,rising,-4,19,27,-9,25,58,8.08,Fixed Deposits
495,0,95376748,excellent,rising,-69,-18,57,87,33,90,8.4,Fixed Deposits
645,0,133407,excellent,stable,-1,-1,42,67,-10,97,8.47,Fixed Deposits
819,5,28323069,good,stable,89,-7,83,-7,-1,157,9.07,Fixed Deposits
855,4,29517285,excellent,rising,94,22,55,71,40,282,10.32,Home Loans
542,1,45687381,excellent,rising,3,24,76,64,38,205,9.55,Home Loans
417,4,54400676,excellent,stable,-64,13,67,93,-3,106,8.56,Fixed Deposits
843,8,47337110,good,rising,81,48,99,-7,25,246,9.96,Fixed Deposits
401,18,32856902,poor,falling,-71,58,58,-76,-49,-80,7.61,Home Loans
712,14,11907213,excellent,rising,-8,77,64,86,33,252,10.02,Home Loans
823,12,90018890,good,rising,93,80,72,-8,40,277,10.27,Fixed Deposits
870,11,87628325,poor,rising,97,50,52,-89,29,139,8.89,Fixed Deposits
780,4,65289556,excellent,rising,52,15,58,81,42,248,9.98,Fixed Deposits
647,1,23206564,excellent,falling,-14,-16,71,75,-35,81,8.31,Fixed Deposits
784,3,69894388,excellent,rising,100,24,99,75,29,274,10.24,Home Loans
547,17,45199470,poor,stable,-6,71,72,-54,23,106,8.56,Home Loans
477,9,70101612,excellent,rising,-51,25,69,91,34,168,9.18,Home Loans
881,12,68323361,excellent,stable,57,62,56,77,-14,238,9.88,Home Loans
760,11,12780356,excellent,falling,80,63,66,74,-46,237,9.87,Fixed Deposits
414,1,67043374,poor,falling,-77,-3,52,-71,-28,-127,8.44,Fixed Deposits
590,14,60231418,poor,rising,-13,88,56,-50,32,113,8.63,Home Loans
718,13,65808142,excellent,falling,-18,77,62,90,-40,171,9.21,Fixed Deposits
885,9,5891595,poor,rising,91,50,33,-63,27,138,8.88,Fixed Deposits
733,7,95051719,excellent,rising,-12,32,90,63,40,213,9.63,Fixed Deposits
780,14,46230469,excellent,stable,64,82,72,50,-6,262,10.12,Fixed Deposits
432,12,86509722,poor,falling,-80,51,86,-68,-40,-51,7.76,Fixed Deposits
635,7,24978961,good,rising,-11,35,53,-15,42,104,8.54,Fixed Deposits
883,13,94378702,excellent,stable,75,82,58,84,-9,290,10.4,Home Loans
808,0,19874860,excellent,rising,87,-2,55,70,34,244,9.94,Fixed Deposits
561,12,30150506,good,rising,20,61,91,-4,48,216,9.66,Home Loans
475,7,45451197,poor,falling,-63,32,67,-96,-28,-88,8.08,Home Loans
762,17,41120573,poor,stable,82,77,84,-61,5,187,9.37,Fixed Deposits
848,8,9485607,good,rising,59,27,47,-8,35,160,9.1,Home Loans
774,12,56863881,poor,stable,68,59,80,-64,21,164,9.14,Fixed Deposits
892,2,54377668,good,stable,60,21,69,18,-18,150,9.0,Fixed Deposits
507,17,68708434,good,stable,-23,93,56,3,5,134,8.84,Fixed Deposits
461,9,88943569,good,rising,-78,26,61,-8,29,30,7.8,Home Loans
751,4,9818083,excellent,rising,55,-21,29,61,29,153,9.03,Home Loans
471,5,85787422,excellent,falling,-60,15,98,70,-50,73,8.23,Home Loans
622,7,58288116,excellent,stable,15,42,100,89,-17,229,9.79,Home Loans
643,6,21623409,good,stable,3,30,53,4,20,110,8.6,Fixed Deposits
747,17,86759555,excellent,stable,-22,60,61,90,-23,166,9.16,Home Loans
820,13,13444971,excellent,rising,52,95,64,64,41,222,9.72,Home Loans
556,14,50012167,excellent,stable,-6,50,51,84,-13,166,9.16,Fixed Deposits
459,9,54887677,excellent,rising,-50,47,96,96,44,233,9.83,Fixed Deposits
789,11,96126075,good,rising,92,53,60,2,44,251,10.01,Fixed Deposits
627,6,30893847,excellent,rising,25,31,82,53,48,239,9.89,Fixed Deposits
831,6,10554107,excellent,stable,98,33,63,77,-16,255,10.05,Home Loans
463,10,26804909,good,rising,-93,98,76,4,34,119,8.69,Fixed Deposits
826,12,64684272,poor,rising,55,66,53,-53,29,150,9.0,Fixed Deposits
670,14,96854339,excellent,rising,-21,60,87,100,39,265,10.15,Fixed Deposits
528,17,23633908,excellent,rising,-18,76,89,99,34,280,10.3,Fixed Deposits
568,6,44090310,poor,rising,-18,36,69,-74,29,42,7.92,Fixed Deposits
877,5,44843982,excellent,stable,84,21,51,65,-25,196,9.46,Fixed Deposits
841,10,37615321,poor,rising,68,83,53,-69,37,172,9.22,Home Loans
410,7,65163389,excellent,rising,-53,32,98,61,28,166,9.16,Fixed Deposits
403,19,47678028,excellent,stable,-91,72,73,93,14,161,9.11,Fixed Deposits
887,0,22015133,excellent,stable,84,0,58,85,4,231,9.81,Home Loans
414,7,58793471,excellent,stable,-92,26,68,64,-23,43,7.93,Fixed Deposits
520,7,83029686,poor,rising,-18,48,57,-82,44,49,7.99,Fixed Deposits
622,18,12698074,poor,falling,-18,81,90,-83,-29,41,7.91,Fixed Deposits
884,2,81798032,poor,rising,57,-20,77,-75,27,66,8.16,Fixed Deposits
740,4,59553214,poor,stable,-6,-25,62,-90,1,-58,7.55,Home Loans
676,2,47262782,poor,rising,-19,24,57,-71,40,31,7.81,Fixed Deposits
457,14,11162096,good,rising,-55,53,63,2,36,99,8.49,Home Loans
511,13,8827160,poor,stable,-4,74,42,-78,19,53,8.03,Fixed Deposits
801,14,16833012,excellent,rising,66,57,99,64,43,175,9.25,Home Loans
555,16,87477191,excellent,rising,18,89,59,97,33,296,10.46,Home Loans
365,17,86992152,good,stable,-96,95,69,-15,-10,43,7.93,Home Loans
676,1,49740180,poor,stable,8,-6,50,-58,6,0,7.81,Home Loans
351,11,46973264,good,stable,-76,63,61,-5,25,68,8.18,Fixed Deposits
359,15,1766888,poor,stable,-54,82,27,-56,7,6,7.56,Home Loans
783,3,25072975,excellent,stable,92,-23,69,88,-10,216,9.66,Fixed Deposits
474,1,38228409,good,rising,-86,-11,61,5,43,12,7.62,Fixed Deposits
430,13,25287755,poor,falling,-70,76,99,-86,-27,-8,8.2,Fixed Deposits
834,10,79712454,excellent,stable,94,68,61,66,5,294,10.44,Home Loans
499,12,61528029,poor,stable,-82,50,88,-76,-17,-37,7.97,Fixed Deposits
689,6,52382694,good,rising,18,49,78,-2,37,180,9.3,Fixed Deposits
478,9,22120616,good,falling,-70,27,52,19,-47,-19,8.24,Home Loans
787,0,45706390,poor,rising,96,7,56,-65,30,124,8.74,Home Loans
850,3,58463664,excellent,stable,61,25,72,82,4,244,9.94,Fixed Deposits
407,17,8972157,excellent,rising,-78,66,37,93,50,168,9.18,Home Loans
547,5,95038495,good,stable,24,-13,60,-22,14,63,8.13,Home Loans
560,1,35956737,excellent,rising,-3,22,74,50,31,174,9.24,Home Loans
394,2,3885851,excellent,stable,-65,-14,44,87,-18,34,7.84,Fixed Deposits
446,13,41758065,excellent,rising,-90,88,69,60,35,162,9.12,Home Loans
628,7,8956127,poor,rising,-4,50,41,-80,27,34,7.84,Fixed Deposits
884,15,24669782,excellent,falling,96,76,96,74,-47,295,10.45,Fixed Deposits
759,18,70993834,excellent,rising,79,73,76,99,25,197,9.47,Home Loans
810,17,71737309,poor,rising,54,66,55,-73,44,146,8.96,Fixed Deposits
740,5,92825292,poor,rising,11,-15,55,-51,29,29,7.79,Home Loans
393,13,57256262,good,falling,-81,71,88,-20,-49,9,7.59,Home Loans
376,2,38918920,good,rising,-91,-18,90,20,38,39,7.89,Home Loans
446,15,41558663,excellent,rising,-79,91,58,55,37,162,9.12,Fixed Deposits
897,0,57043346,excellent,stable,91,22,70,71,23,277,10.27,Home Loans
568,11,32729011,excellent,rising,4,81,67,64,37,253,10.03,Fixed Deposits
534,13,50634081,good,rising,4,78,50,7,45,184,9.34,Fixed Deposits
418,18,85532830,excellent,falling,-79,91,99,66,-27,150,9.0,Home Loans
479,18,59858852,good,rising,-63,81,99,-14,32,135,8.85,Home Loans
683,8,40696599,excellent,stable,12,48,61,80,-15,186,9.36,Fixed Deposits
503,6,81770561,excellent,stable,12,49,50,84,-17,178,9.28,Home Loans
896,13,96862197,good,falling,56,89,77,8,-27,203,9.53,Home Loans
428,4,93710235,poor,falling,-51,-21,73,-69,-38,-106,7.67,Fixed Deposits
762,17,65426945,excellent,rising,85,98,68,72,37,-51,8.5,Fixed Deposits
895,8,97083480,excellent,stable,63,37,63,87,6,256,10.06,Home Loans
518,6,36624131,excellent,stable,-15,49,63,54,-19,132,8.82,Fixed Deposits
864,8,69473966,excellent,rising,56,34,75,89,35,289,10.39,Home Loans
663,3,69448523,good,rising,6,-16,65,-24,41,72,8.22,Fixed Deposits
381,16,82032111,excellent,falling,-83,75,73,80,-41,104,8.54,Home Loans
636,11,55094245,excellent,rising,8,75,81,61,25,250,10.0,Home Loans
392,5,88216121,poor,rising,-99,-5,55,-62,32,-79,7.96,Fixed Deposits
350,17,19769813,good,falling,-94,72,98,20,-36,60,8.1,Home Loans
619,7,61622412,excellent,stable,17,36,94,91,-21,217,9.67,Home Loans
529,14,6008336,excellent,rising,5,61,47,69,46,228,9.78,Home Loans
867,2,58967572,excellent,rising,67,13,68,63,44,255,10.05,Home Loans
452,1,35323620,excellent,rising,-81,17,74,60,28,98,8.48,Fixed Deposits
359,8,83431968,good,falling,-94,44,74,5,-25,4,7.54,Fixed Deposits
439,7,8892314,good,falling,-79,48,44,25,-38,0,8.05,Fixed Deposits
575,3,23733714,excellent,rising,11,-1,51,82,49,192,9.42,Fixed Deposits
475,1,156777,good,falling,-67,-14,34,0,-35,-82,7.77,Home Loans
558,13,42281694,excellent,rising,20,85,90,51,32,278,10.28,Fixed Deposits
446,1,93319308,excellent,stable,-62,6,76,80,20,120,8.7,Fixed Deposits
423,1,62376782,poor,rising,-59,-8,93,-66,36,-4,7.85,Fixed Deposits
540,6,4084107,excellent,stable,24,34,32,76,-19,147,8.97,Home Loans
405,11,61673260,excellent,rising,-61,69,90,54,48,200,9.5,Home Loans
381,5,94810208,poor,rising,-85,-24,92,-90,47,-60,8.16,Fixed Deposits
876,17,11618614,excellent,rising,63,82,82,100,29,205,9.55,Fixed Deposits
633,3,80689410,excellent,rising,15,20,92,88,39,254,10.04,Fixed Deposits
843,18,9398967,good,falling,81,66,43,2,-41,151,9.01,Fixed Deposits
536,12,4817291,good,falling,12,85,47,-10,-50,84,8.34,Home Loans
847,19,91731469,poor,falling,88,79,79,-61,-45,140,8.9,Home Loans
791,1,69629066,excellent,rising,75,-17,83,75,32,248,9.98,Fixed Deposits
479,7,26826173,excellent,rising,-71,31,63,73,35,131,8.81,Home Loans
641,18,72847942,excellent,rising,15,70,85,53,30,253,10.03,Fixed Deposits
463,8,38105378,good,rising,-62,46,69,-14,32,71,8.21,Fixed Deposits
548,3,63345804,excellent,rising,-17,-9,72,67,46,159,9.09,Home Loans
362,15,66238263,good,stable,-69,52,64,-12,24,59,8.09,Fixed Deposits
620,18,42372973,excellent,rising,-19,81,51,66,46,225,9.75,Fixed Deposits
564,9,13628514,excellent,falling,-14,25,73,93,-37,140,8.9,Home Loans
793,5,86003254,excellent,stable,72,-16,73,90,-17,202,9.52,Fixed Deposits
861,15,3725561,poor,rising,66,54,40,-85,37,112,8.62,Fixed Deposits
796,9,4989197,poor,stable,70,28,46,-59,24,109,8.59,Home Loans
423,12,30206772,poor,rising,-89,100,53,-81,38,21,7.71,Fixed Deposits
886,8,3541951,excellent,rising,71,30,26,92,27,246,9.96,Home Loans
450,6,94700084,excellent,rising,-78,30,64,77,49,142,8.92,Home Loans
525,3,6967959,excellent,stable,-21,15,43,90,5,132,8.82,Fixed Deposits
776,18,69157579,good,rising,67,69,68,-25,47,226,9.76,Fixed Deposits
466,3,97070296,excellent,stable,-64,-17,97,65,23,104,8.54,Fixed Deposits
515,18,26489337,excellent,rising,11,64,93,53,35,256,10.06,Home Loans
390,18,39250903,excellent,rising,-94,57,84,81,37,165,9.15,Home Loans
778,11,34779400,excellent,rising,52,83,69,78,44,60,8.1,Fixed Deposits
693,12,9481485,excellent,stable,-25,79,39,57,-6,144,8.94,Home Loans
773,3,24848978,excellent,stable,55,-16,88,51,16,194,9.44,Fixed Deposits
715,9,57518253,excellent,stable,-19,38,90,95,11,215,9.65,Home Loans
469,6,75269496,excellent,rising,-74,48,78,73,31,156,9.06,Home Loans
578,4,6908853,good,rising,5,8,39,15,45,112,8.62,Home Loans
479,16,11840453,good,stable,-93,71,69,20,-16,51,8.01,Home Loans
701,17,94301819,excellent,rising,-12,62,81,63,30,224,9.74,Home Loans
667,10,42666159,good,rising,-11,100,62,18,49,218,9.68,Home Loans
686,14,59254621,excellent,rising,-19,78,56,92,42,249,9.99,Fixed Deposits
622,6,99857129,excellent,stable,-19,31,65,50,-20,107,8.57,Home Loans
466,17,9425292,good,stable,-68,93,34,7,19,85,8.35,Fixed Deposits
717,5,44164209,poor,rising,15,-20,51,-90,46,2,7.52,Home Loans
443,17,94394875,good,stable,-94,84,100,-6,-9,75,8.25,Fixed Deposits
517,15,88104291,excellent,stable,-6,86,87,64,-4,227,9.77,Fixed Deposits
690,1,95398687,good,rising,-19,-22,67,2,47,75,8.25,Fixed Deposits
501,18,82274570,excellent,rising,24,63,83,70,31,271,10.21,Fixed Deposits
623,0,95072151,excellent,stable,-12,-20,70,72,9,119,8.69,Fixed Deposits
845,10,2061991,excellent,stable,64,66,45,58,13,246,9.96,Home Loans
450,19,80927729,good,rising,-83,98,50,-6,44,103,8.53,Home Loans
431,4,66428547,excellent,stable,-91,-2,64,66,-6,31,7.81,Home Loans
878,15,97617974,good,rising,84,62,59,16,50,271,10.21,Fixed Deposits
422,0,91990539,good,stable,-74,-14,84,-11,3,-12,7.85,Home Loans
363,18,93084200,excellent,rising,-58,78,74,93,31,218,9.68,Home Loans
782,13,48810626,poor,rising,50,73,81,-96,26,134,8.84,Home Loans
506,2,17730436,good,stable,2,8,80,20,-21,89,8.39,Home Loans
481,1,91746683,excellent,rising,-67,-12,59,91,37,108,8.58,Home Loans
687,4,52189629,excellent,rising,22,1,52,82,30,187,9.37,Fixed Deposits
753,16,33948631,good,stable,52,54,71,4,6,187,9.37,Home Loans
725,17,2606108,excellent,stable,23,89,30,65,10,217,9.67,Home Loans
456,0,25185698,poor,stable,-98,21,51,-65,7,-84,8.23,Home Loans
614,14,6949151,excellent,rising,-15,58,47,86,35,211,9.61,Fixed Deposits
554,8,98701191,excellent,stable,-22,40,90,90,7,205,9.55,Home Loans
428,4,26200248,poor,rising,-71,-13,89,-52,43,-4,7.8,Home Loans
504,12,20930833,poor,rising,13,64,73,-63,33,120,8.7,Home Loans
596,18,21842682,excellent,rising,6,85,81,73,42,287,10.37,Fixed Deposits
880,9,63539471,good,rising,65,49,82,-1,38,233,9.83,Fixed Deposits
887,19,92901634,excellent,rising,66,65,98,76,45,245,9.95,Fixed Deposits
503,13,59595596,good,rising,-15,93,76,-21,31,164,9.14,Fixed Deposits
503,11,72720265,poor,falling,10,93,62,-51,-49,65,8.15,Home Loans
441,10,91080086,excellent,falling,-69,80,86,98,-34,161,9.11,Home Loans
782,6,27314481,excellent,falling,84,39,88,70,-44,237,9.87,Home Loans
687,16,94485670,excellent,stable,1,86,78,92,-5,252,10.02,Fixed Deposits
829,17,41580997,excellent,falling,97,82,90,84,-44,235,9.85,Fixed Deposits
480,6,1157628,excellent,rising,-67,44,49,55,25,106,8.56,Fixed Deposits
799,19,53771452,poor,stable,54,75,95,-92,-4,128,8.78,Home Loans
622,5,44935069,excellent,rising,-1,9,68,94,46,216,9.66,Fixed Deposits
526,10,11196361,excellent,rising,2,89,50,76,47,264,10.14,Home Loans
398,11,93496048,good,rising,-83,56,84,-25,32,64,8.14,Fixed Deposits
704,15,29414233,excellent,stable,-23,94,65,79,20,235,9.85,Fixed Deposits
657,18,66192371,excellent,rising,2,91,57,64,49,263,10.13,Fixed Deposits
395,18,10541142,excellent,stable,-99,80,56,81,4,122,8.72,Fixed Deposits
651,10,27638012,good,falling,8,66,70,-6,-38,100,8.5,Fixed Deposits
757,15,66795168,excellent,rising,71,92,60,53,34,135,8.85,Fixed Deposits
538,11,719961,good,rising,-4,57,50,8,36,147,8.97,Fixed Deposits
478,7,71711141,excellent,stable,-71,47,64,97,19,156,9.06,Home Loans
886,2,13041803,good,rising,83,21,94,12,40,250,10.0,Home Loans
615,1,4384742,good,falling,22,18,44,-6,-30,48,7.98,Fixed Deposits
467,5,45337424,good,falling,-100,-8,55,21,-38,-70,8.28,Fixed Deposits
813,15,8027974,excellent,rising,78,91,29,100,39,222,9.72,Fixed Deposits
493,19,86248617,excellent,rising,-82,61,53,77,28,137,8.87,Fixed Deposits
791,14,5963831,poor,falling,68,79,43,-62,-46,82,8.32,Home Loans
549,13,51344295,excellent,falling,15,85,96,74,-25,245,9.95,Home Loans
506,1,23873320,excellent,rising,15,-11,70,60,38,172,9.22,Fixed Deposits
836,19,83261227,good,rising,78,67,86,24,29,284,10.34,Fixed Deposits
483,17,41580758,poor,stable,-58,74,92,-93,-1,14,7.64,Fixed Deposits
497,13,44107163,excellent,rising,-68,62,67,83,31,175,9.25,Home Loans
685,17,73906024,good,falling,25,73,91,1,-37,153,9.03,Home Loans
420,1,21787611,good,stable,-84,-9,97,18,-24,-2,8.18,Home Loans
582,0,41186006,excellent,stable,12,-25,85,71,-24,119,8.69,Home Loans
683,19,3068276,good,rising,-25,86,43,-18,25,111,8.61,Home Loans
439,1,43239129,poor,stable,-51,23,86,-68,-24,-34,7.72,Home Loans
683,8,53382100,poor,rising,15,44,64,-62,26,87,8.37,Home Loans
548,8,24796550,excellent,rising,7,42,87,58,45,239,9.89,Fixed Deposits
510,15,66263903,good,stable,10,58,51,-4,-1,114,8.64,Fixed Deposits
887,10,30947784,excellent,rising,71,59,91,58,47,81,8.31,Fixed Deposits
470,5,94040899,excellent,stable,-83,-1,80,80,19,95,8.45,Home Loans
650,11,4757529,good,falling,-9,98,30,8,-46,81,8.31,Home Loans
785,2,99605715,excellent,rising,81,-25,68,53,50,227,9.77,Fixed Deposits
417,11,45306787,excellent,rising,-81,85,87,95,44,230,9.8,Fixed Deposits
808,0,40145375,excellent,rising,100,-8,64,63,39,258,10.08,Fixed Deposits
863,8,58015699,excellent,rising,72,39,82,57,46,296,10.46,Home Loans
747,19,97589371,excellent,stable,2,64,89,90,21,266,10.16,Fixed Deposits
635,5,90136327,excellent,stable,20,7,75,84,-19,167,9.17,Fixed Deposits
489,10,93806320,good,falling,-75,71,79,-4,-38,33,7.83,Home Loans
631,2,91573193,excellent,stable,-19,-2,60,100,22,161,9.11,Home Loans
806,3,81890997,good,rising,90,-25,95,-20,43,183,9.33,Home Loans
436,9,39264875,poor,rising,-81,35,50,-68,37,-27,7.56,Fixed Deposits
428,18,23518244,excellent,rising,-60,92,63,67,48,210,9.6,Home Loans
554,5,24157686,good,rising,21,0,59,-18,48,110,8.6,Home Loans
686,0,50514086,good,rising,-15,0,66,-19,27,59,8.09,Fixed Deposits
603,7,93165624,good,rising,-19,30,60,6,47,124,8.74,Fixed Deposits
653,7,95200762,excellent,falling,12,25,91,56,-50,134,8.84,Home Loans
729,5,30575152,good,rising,1,-12,64,-16,29,66,8.16,Fixed Deposits
479,16,47170498,excellent,stable,-92,73,61,85,-17,110,8.6,Fixed Deposits
625,18,83604568,excellent,rising,-22,87,52,99,42,258,10.08,Home Loans
532,0,15033462,good,rising,23,23,71,25,27,169,9.19,Home Loans
617,14,18218316,excellent,rising,12,90,99,80,44,-84,8.44,Fixed Deposits
671,12,3731779,good,rising,3,66,48,5,26,148,8.98,Home Loans
861,2,6644441,good,rising,98,-12,50,-16,50,170,9.2,Home Loans
427,1,29865694,good,stable,-75,-7,88,-6,-4,-4,7.75,Home Loans
688,2,91554603,excellent,stable,-1,-18,92,100,-5,168,9.18,Home Loans
858,8,8979580,poor,stable,63,48,42,-66,11,98,8.48,Fixed Deposits
587,15,579999,good,falling,11,72,41,3,-27,100,8.5,Home Loans
483,12,58497289,excellent,falling,-51,93,72,79,-37,156,9.06,Home Loans
541,18,30610746,excellent,stable,2,51,65,98,7,223,9.73,Home Loans
705,17,53658018,good,rising,-18,52,52,5,41,132,8.82,Home Loans
627,11,88533964,poor,falling,16,62,79,-68,-25,64,8.14,Fixed Deposits
367,11,91138859,good,falling,-90,54,62,14,-25,15,7.65,Fixed Deposits
873,0,97929932,good,stable,84,-8,57,23,-5,151,9.01,Fixed Deposits
